"BATCH	",
blon-1,18
blon-2,27
blon-4,38
blon-8,48
blon-r00,50
blon-rnd,36
cluster-1,10
cluster-2,16
cluster-4,21
cluster-8,24
cluster-r00,27
cluster-rnd,20
lon-1,7
lon-2,22
lon-4,24
lon-8,27
lon-r00,28
lon-rnd,15
offset-1,18
offset-2,26
offset-4,39
offset-8,47
offset-r00,49
offset-rnd,30
