Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v52,SE12 0JQ,51.441768,0.01871,20140610T090000,20140610T170000,30.0,Car
v26,SE12 9ET,51.44304,0.020551,20140610T090000,20140610T170000,30.0,Car
v40,SE12 9QB,51.435783,0.026763,20140610T090000,20140610T170000,30.0,Car
v18,SE12 9TZ,51.432583,0.027743,20140610T090000,20140610T170000,30.0,Car
v13,SE6 1ES,51.439774,-0.0104,20140610T090000,20140610T170000,30.0,Car
v54,SE6 3TJ,51.434954,-0.023113,20140610T090000,20140610T170000,30.0,Car
v45,SE25 4DQ,51.403127,-0.072679,20140610T090000,20140610T170000,30.0,Car
v47,SE25 4XL,51.399524,-0.07999,20140610T090000,20140610T170000,30.0,Car
v20,SE25 5PD,51.38934,-0.090176,20140610T090000,20140610T170000,30.0,Car
v24,SE25 4TY,51.401113,-0.067804,20140610T090000,20140610T170000,30.0,Car
v3,SE20 8LB,51.411851,-0.059126,20140610T090000,20140610T170000,30.0,Car
v39,SE26 6BP,51.424959,-0.064942,20140610T090000,20140610T170000,30.0,Car
v44,SE23 3NA,51.445051,-0.052005,20140610T090000,20140610T170000,30.0,Car
Route Name,Route8
Time,479.129378163
Emissions,30.230949173
Distance,35.206104375
Cost,167.23087815427334

